epoch,date,wins_5_1,wins_5_0,wins_4_1_and_4_0,wins_3_1_and_3_0,wins_2_1_and_2_0
47,2022-06-20,0.11356327,0.96436024,259.45862,12108.983,182510.92
47,2016-12-24,0.46091887,5.3569255,1350.2236,60041.18,852011.6
48,2013-06-22,0.17549442,1.7422037,497.06497,24953.4,404192.22
48,2022-06-20,0.11316252,0.96261793,259.15692,12104.445,182579.98
48,2016-12-24,0.45637465,5.3118057,1341.7445,59793.387,850272.75
49,2013-06-22,0.17592435,1.7464157,498.14227,24997.71,404690.44
49,2022-06-20,0.11375818,0.965667,259.79526,12121.635,182627.64
49,2016-12-24,0.45395768,5.289353,1337.747,59691.227,849811.0
50,2013-06-22,0.17602237,1.7429794,497.32544,24956.248,403964.4
50,2022-06-20,0.11350706,0.9664519,260.0349,12138.36,182968.25
50,2016-12-24,0.4532443,5.273288,1334.4791,59568.574,848331.2
51,2013-06-22,0.17460318,1.7348154,495.6371,24913.06,403968.5
51,2022-06-20,0.113746785,0.9667792,260.14087,12139.674,182899.25
51,2016-12-24,0.4529563,5.2772813,1335.8911,59647.676,849552.7
52,2013-06-22,0.17444569,1.7270554,493.85367,24832.424,402728.1
52,2022-06-20,0.11320124,0.9614131,259.00735,12099.779,182486.1
52,2016-12-24,0.4554307,5.287083,1337.9795,59686.83,849053.2
53,2013-06-22,0.17481382,1.73945,496.89917,24973.084,404827.25
53,2022-06-20,0.112144604,0.9496967,256.37286,11999.371,181343.36
53,2016-12-24,0.45073044,5.228551,1325.4894,59245.387,844682.7
54,2013-06-22,0.17420535,1.73513,496.1307,24956.45,404852.16
54,2022-06-20,0.11256608,0.9555615,257.72977,12054.013,182016.75
54,2016-12-24,0.44923708,5.2254305,1326.0659,59330.273,846485.7
55,2013-06-22,0.17297006,1.7162373,491.59473,24764.75,402361.1
55,2022-06-20,0.11381914,0.96584564,259.9501,12130.194,182727.47
55,2016-12-24,0.449055,5.2276053,1326.551,59352.96,846860.8
56,2013-06-22,0.17427006,1.7310526,495.0139,24897.252,403859.75
56,2022-06-20,0.11240035,0.955605,257.84396,12064.385,182225.17
56,2016-12-24,0.44727817,5.1942353,1319.3579,59080.953,843735.3
57,2013-06-22,0.17360105,1.7280648,494.42914,24887.207,404030.6
57,2022-06-20,0.11294213,0.9568622,257.97818,12057.54,181936.22
57,2016-12-24,0.44792062,5.214629,1324.216,59287.008,846384.4
58,2013-06-22,0.17285725,1.7184058,492.2552,24802.777,403031.7
58,2022-06-20,0.11218485,0.9540297,257.54587,12056.132,182176.06
58,2016-12-24,0.44518358,5.157603,1312.4573,58850.023,841247.75
59,2013-06-22,0.17280518,1.7186152,492.5091,24821.066,403337.06
59,2022-06-20,0.11111639,0.943776,255.3434,11977.907,181368.77
59,2016-12-24,0.44475374,5.1714725,1316.4584,59052.79,844273.8
